name,career,last10,lwin,wins,places,tj,jh,twelveMonth,season,track,distance,trackDistance,firm,good,soft,heavy,wet,hclass,roi,is_winner
11. Unending,0.38,0.19,0.06,0.05,0.38,0.12,0.23,0.25,0.25,0.26,0.33,1.00,0.00,0.33,0.62,0.25,0.53,0.38,-0.82,0.00
1. Endless Bounty,0.43,0.25,0.00,0.00,0.43,0.08,0.43,0.25,0.43,0.00,0.33,0.00,0.00,0.40,0.50,0.00,0.50,0.43,-1.00,1.00
2. Double Thumbs Up,0.50,0.22,0.00,0.00,0.50,0.19,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.50,0.50,-1.00,0.00
3. Saintly City,0.00,0.15,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,1.00
4. Better In Kit,0.46,0.24,0.00,0.00,0.46,0.21,0.00,0.43,0.43,0.00,0.50,0.00,0.00,0.50,1.00,0.00,0.33,0.50,-1.00,0.00
5. Al Tina,0.33,0.18,0.00,0.00,0.33,0.21,1.00,0.67,0.67,0.00,0.50,0.00,0.00,0.40,0.00,0.00,0.00,0.33,-1.00,0.00
6. Smoker,0.60,0.25,0.00,0.00,0.60,0.15,0.00,0.00,0.00,0.00,0.75,0.00,0.00,0.33,1.00,0.00,1.00,0.60,-1.00,0.00
7. Ignite The Fire,0.33,0.17,0.00,0.00,0.33,0.06,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.33,-1.00,0.00
8. Quillow,0.00,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,1.00
9. Frankie Drake,0.00,0.16,0.00,0.00,0.00,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,1.00
1. Warpipes,0.44,0.28,0.00,0.00,0.44,0.00,0.00,0.00,0.50,0.33,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.60,-1.00,0.00
2. Lucky Landing,0.40,0.28,0.00,0.00,0.40,0.21,0.33,0.40,0.40,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.40,-1.00,1.00
3. Wommel Wock,0.25,0.24,0.00,0.00,0.25,0.18,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.00,-1.00,1.00
4. Golden Rack,0.14,0.16,0.00,0.00,0.14,0.14,0.00,0.20,0.17,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.25,-1.00,0.00
5. Leocardo,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,0.00
6. Ataboy Charlie,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7. Sneaky Chance,0.33,0.19,0.00,0.00,0.33,0.12,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,-1.00,1.00
8. Heavenly Miss,0.14,0.17,0.00,0.00,0.14,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.50,0.00,-1.00,1.00
9. Rare Encounter,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,0.00
1. Market Stryke,1.00,0.42,0.00,0.00,1.00,0.16,1.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,-1.00,1.00
2. Bambun Boy,0.33,0.30,0.00,0.00,0.33,0.17,0.33,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.50,0.33,-1.00,1.00
3. Maximum Impact,0.13,0.18,0.00,0.00,0.13,0.06,0.00,0.00,0.14,0.00,0.50,0.00,0.00,0.00,0.00,0.50,0.33,0.20,-1.00,0.00
4. Marchamley,0.50,0.25,0.00,0.00,0.50,0.10,0.00,0.50,0.50,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.50,-1.00,0.00
