name,career,last10,lwin,wins,places,tj,jh,twelveMonth,season,track,distance,trackDistance,firm,good,soft,heavy,wet,hclass,roi,is_winner
3. Ruler Rocket,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4. Trionfante,1.0,1.0,0.5,1.0,1.0,0.07,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,1
5. Grey Mistress,0.25,0.2222222222222222,0.0,0.0,0.25,0.24,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,-1.0,1
7. Piccadilly Rose,0.0,0.16666666666666666,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0
6. Runswick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1. Lexington City,0.8333333333333334,0.46153846153846156,0.037037037037037035,0.33,0.83,0.22,0.0,0.8333333333333334,0.5,0.8333333333333334,1.0,1.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,-0.31,1
2. Galaxy Cat,0.4,0.26666666666666666,0.02857142857142857,0.13,0.4,0.18,0.0,0.5,0.0,0.2,0.5714285714285714,1.0,0.0,0.4,0.3333333333333333,0.5,0.4,1.0,0.23,1
4. Basil's Dream,0.5,0.2222222222222222,0.25,0.25,0.5,0.23,0.0,0.5,0.8,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.81,1
5. Zenaze,0.5,0.1724137931034483,0.06666666666666667,0.14,0.5,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.5384615384615384,0.0,0.0,0.0,0.0,-0.52,0
6. Sky Duke,0.75,0.2857142857142857,0.038461538461538464,0.25,0.75,0.09,0.75,0.75,1.0,1.0,0.5,1.0,0.0,0.75,0.0,0.0,0.0,0.0,0.2,1
